model,flops,parameters,image_size
cait_m36_384,53555543286,270929512,224
cait_m48_448,71208794454,356008936,224
cait_s24_224,9390396622,46916200,224
cait_s24_384,9390396622,46916200,224
cait_s36_384,13996219438,68220712,224
cait_xs24_384,5437658588,26560648,224
cait_xxs24_224,2555014890,11956264,224
cait_xxs24_384,2555014890,11956264,224
cait_xxs36_224,3802727370,17299720,224
cait_xxs36_384,3802727370,17299720,224
convmixer_1024_20_ks9_p14,5970174452,24467432,224
convmixer_1536_20,51228930548,51751912,224
convmixer_768_32,20702804468,21210088,224
deit_base_distilled_patch16_224,17708195327,87338192,224
deit_base_distilled_patch16_384,17708195327,87338192,224
deit_base_patch16_224,17614867298,86567656,224
deit_base_patch16_384,17614867298,86567656,224
deit_small_distilled_patch16_224,4649835167,22436432,224
deit_small_patch16_224,4624404554,22050664,224
deit_tiny_distilled_patch16_224,1273854191,5910800,224
deit_tiny_patch16_224,1266447038,5717416,224
ecaresnet101d,8051808500,44674035,224
ecaresnet269d,20296524020,102346005,224
ecaresnet26t,2554999796,16042876,224
ecaresnet50d,4336088308,25629598,224
ecaresnet50t,4304477428,25627046,224
ecaresnetlight,4094656756,30224382,224
gmixer_12_224,2673202968,12701080,224
gmixer_24_224,5287842168,24721096,224
gmlp_b16_224,15815798952,73075392,224
gmlp_s16_224,4439740584,19422656,224
gmlp_ti16_224,1352835240,5867328,224
ig_resnext101_32x16d,36164242932,194359720,224
ig_resnext101_32x32d,87107735028,469123496,224
ig_resnext101_32x48d,0,829264296,224
ig_resnext101_32x8d,16414969332,88994216,224
mixer_b16_224,12640311576,59880472,224
mixer_b16_224_in21k,12640311576,59880472,224
mixer_b16_224_miil,12640311576,59880472,224
mixer_b16_224_miil_in21k,12640311576,59880472,224
mixer_b32_224,3252666813,60293428,224
mixer_l16_224,44655744888,208196168,224
mixer_l16_224_in21k,44655744888,208196168,224
mixer_l32_224,11299184469,206939264,224
mixer_s16_224,3793209080,18528264,224
mixer_s32_224,1008062261,19104624,224
pvt_large,9892501163,61369320,224
pvt_medium,6714653546,44208104,224
pvt_small,3855239534,24485864,224
pvt_tiny,1955348899,13229288,224
pvt_v2_b0,580293218,3666760,224
pvt_v2_b1,2134998562,14009000,224
pvt_v2_b2,4072624035,25362856,224
pvt_v2_b3,6960638367,45238696,224
pvt_v2_b4,10190443232,62556072,224
pvt_v2_b5,11806990031,81956008,224
resmlp_12_224,3019788020,15350872,224
resmlp_12_224_dino,3019788020,15350872,224
resmlp_12_distilled_224,3019788020,15350872,224
resmlp_24_224,5981275892,30020680,224
resmlp_24_224_dino,5981275892,30020680,224
resmlp_24_distilled_224,5981275892,30020680,224
resmlp_36_224,8942763764,44690488,224
resmlp_36_distilled_224,8942763764,44690488,224
resmlp_big_24_224,100390601204,129138280,224
resmlp_big_24_224_in22ft1k,100390601204,129138280,224
resmlp_big_24_distilled_224,100390601204,129138280,224
resnet101,7802359284,44654504,224
resnet101d,8042702324,44673864,224
resnet152,11514580468,60344232,224
resnet152d,11754923508,60363592,224
resnet18,1814989556,11699112,224
resnet18d,2054805748,11718472,224
