model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
cait_m36_384,384,256,14,94.52,24.46
cait_m48_448,448,128,10,73.12,17.88
cait_s24_224,224,512,44,393.92,101.02
cait_s24_384,384,256,44,391.37,97.32
cait_s36_384,384,256,30,262.43,64.79
cait_xs24_384,384,256,60,602.47,146.78
cait_xxs24_224,224,512,88,941.86,231.36
cait_xxs24_384,384,256,88,930.02,223.22
cait_xxs36_224,224,512,60,630.69,148.13
cait_xxs36_384,384,256,60,624.99,146.33
convmixer_1024_20_ks9_p14,224,512,68,76726.9,111.56
convmixer_1536_20,224,512,11,73707.19,29.19
convmixer_768_32,224,512,36,44860.74,71.81
deit_base_distilled_patch16_224,224,512,68,2987.51,111.24
deit_base_distilled_patch16_384,384,256,68,2990.21,91.89
deit_base_patch16_224,224,512,68,3865.92,92.4
deit_base_patch16_384,384,256,68,3875.03,92.4
deit_small_distilled_patch16_224,224,512,136,9814.76,321.57
deit_small_patch16_224,224,512,136,12532.66,269.73
deit_tiny_distilled_patch16_224,224,512,256,27787.99,813.11
deit_tiny_patch16_224,224,512,272,35263.42,825.79
ecaresnet101d,224,512,80,1185.8,190.15
ecaresnet269d,320,256,30,364.7,64.0
ecaresnet26t,256,512,176,71297.6,744.48
ecaresnet50d,224,512,112,8318.46,363.0
ecaresnet50t,224,512,112,8356.96,365.34
ecaresnetlight,224,512,160,10142.21,453.47
gmixer_12_224,224,512,224,165594.42,511.28
gmixer_24_224,224,512,112,2234.62,225.77
gmlp_b16_224,224,512,30,888.88,70.36
gmlp_s16_224,224,512,64,2708.96,171.21
gmlp_ti16_224,224,512,128,7312.96,391.33
ig_resnext101_32x16d,224,320,26,277.85,51.88
ig_resnext101_32x32d,224,0,0,0.0,0.0
ig_resnext101_32x48d,224,0,0,0.0,0.0
ig_resnext101_32x8d,224,512,48,1294.27,103.34
mixer_b16_224,224,512,68,173305.29,118.09
mixer_b16_224_in21k,224,512,68,176317.11,118.23
mixer_b16_224_miil,224,512,68,177399.79,118.25
mixer_b16_224_miil_in21k,224,512,68,176820.39,118.25
mixer_b32_224,224,512,144,187870.38,446.49
mixer_l16_224,224,512,22,306.7,38.25
mixer_l16_224_in21k,224,512,22,306.33,35.37
mixer_l32_224,224,512,44,1145.83,116.86
mixer_s16_224,224,512,160,171319.0,477.11
mixer_s32_224,224,512,416,274625.98,1545.62
pvt_large,224,512,34,464.36,85.33
pvt_medium,224,512,48,707.0,132.74
pvt_small,224,512,64,1657.93,217.37
pvt_tiny,224,512,120,30845.34,447.75
pvt_v2_b0,224,512,192,11416.11,548.1
pvt_v2_b1,224,512,96,5275.8,263.1
pvt_v2_b2,224,512,56,983.51,145.94
pvt_v2_b3,224,512,40,512.51,95.64
pvt_v2_b4,224,512,28,350.44,63.86
pvt_v2_b5,224,512,30,329.47,60.54
resmlp_12_224,224,512,176,211054.9,681.2
resmlp_12_224_dino,224,512,176,216545.69,460.48
resmlp_12_distilled_224,224,512,176,218967.13,459.98
resmlp_24_224,224,512,88,134136.69,259.86
resmlp_24_224_dino,224,512,88,141123.98,224.85
resmlp_24_distilled_224,224,512,88,143894.64,225.02
resmlp_36_224,224,512,60,99791.68,157.09
resmlp_36_distilled_224,224,512,60,103136.97,146.51
resmlp_big_24_224,224,512,11,131906.61,20.25
resmlp_big_24_224_in22ft1k,224,512,11,129966.73,16.99
resmlp_big_24_distilled_224,224,512,11,111401.34,17.0
resnet101,224,512,104,1691.94,252.35
resnet101d,256,512,96,1584.33,210.36
