model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
cait_m36_384,384,256,24,288.25,57.42
cait_m48_448,448,128,18,215.29,41.11
cait_s24_224,224,512,80,945.15,196.05
cait_s24_384,384,256,80,936.56,190.31
cait_s36_384,384,256,52,630.27,124.0
cait_xs24_384,384,256,104,1098.12,252.33
cait_xxs24_224,224,512,160,1348.93,361.6
cait_xxs24_384,384,256,160,1335.89,351.16
cait_xxs36_224,224,512,104,903.65,231.6
cait_xxs36_384,384,256,104,896.73,229.76
convmixer_1024_20_ks9_p14,224,512,136,32109.66,322.7
convmixer_1536_20,224,512,22,18.33,59.79
convmixer_768_32,224,512,68,28.42,166.53
deit_base_distilled_patch16_224,224,512,112,12686.69,287.08
deit_base_distilled_patch16_384,384,256,112,10833.37,244.66
deit_base_patch16_224,224,512,112,15501.53,199.1
deit_base_patch16_384,384,256,112,13981.38,199.13
deit_small_distilled_patch16_224,224,512,240,29881.22,665.59
deit_small_patch16_224,224,512,240,39739.51,453.28
deit_tiny_distilled_patch16_224,224,512,480,69281.12,1389.92
deit_tiny_patch16_224,224,512,480,91475.7,937.83
ecaresnet101d,224,512,144,4946.06,418.53
ecaresnet269d,320,256,56,1143.42,139.17
ecaresnet26t,256,512,352,54449.84,1272.1
ecaresnet50d,224,512,224,32567.4,707.29
ecaresnet50t,224,512,224,32137.05,709.43
ecaresnetlight,224,512,288,30744.37,919.29
gmixer_12_224,224,512,352,168677.04,917.0
gmixer_24_224,224,512,176,7672.3,419.79
gmlp_b16_224,224,512,48,2345.31,130.08
gmlp_s16_224,224,512,104,5696.59,275.01
gmlp_ti16_224,224,512,208,12462.67,579.22
ig_resnext101_32x16d,224,512,52,17667.25,179.58
ig_resnext101_32x32d,224,0,0,0.0,0.0
ig_resnext101_32x48d,224,0,0,0.0,0.0
ig_resnext101_32x8d,224,512,96,6482.11,309.41
mixer_b16_224,224,512,112,91545.9,296.71
mixer_b16_224_in21k,224,512,112,132473.49,296.64
mixer_b16_224_miil,224,512,112,134433.38,296.69
mixer_b16_224_miil_in21k,224,512,112,116588.57,296.53
mixer_b32_224,224,512,272,154799.63,962.95
mixer_l16_224,224,512,36,1461.05,104.59
mixer_l16_224_in21k,224,512,36,1465.62,97.62
mixer_l32_224,224,512,80,4100.15,274.75
mixer_s16_224,224,512,272,232394.88,960.16
mixer_s32_224,224,512,512,228156.35,2718.93
pvt_large,224,512,60,1211.95,149.79
pvt_medium,224,512,88,1794.08,229.57
pvt_small,224,512,120,3808.98,363.94
pvt_tiny,224,512,208,85985.33,714.48
pvt_v2_b0,224,512,352,21733.54,1190.22
pvt_v2_b1,224,512,176,14249.43,585.93
pvt_v2_b2,224,512,96,2518.45,306.51
pvt_v2_b3,224,512,72,1387.53,195.56
pvt_v2_b4,224,512,52,961.01,129.48
pvt_v2_b5,224,512,52,916.18,116.38
resmlp_12_224,224,512,352,139344.44,1255.26
resmlp_12_224_dino,224,512,352,143270.64,1255.18
resmlp_12_distilled_224,224,512,352,143682.83,1255.92
resmlp_24_224,224,512,176,84583.23,635.98
resmlp_24_224_dino,224,512,176,75934.69,635.93
resmlp_24_distilled_224,224,512,176,131513.48,636.08
resmlp_36_224,224,512,120,6437.69,438.84
resmlp_36_distilled_224,224,512,120,6378.25,416.99
resmlp_big_24_224,224,512,22,109321.93,68.26
resmlp_big_24_224_in22ft1k,224,512,22,86624.68,60.18
resmlp_big_24_distilled_224,224,512,22,87583.28,60.17
resnet101,224,512,192,14839.91,567.96
resnet101d,256,512,192,12061.19,448.47
resnet152,224,512,144,4184.86,342.61
resnet152d,256,512,136,3970.22,354.24
resnet18,224,512,512,85411.93,4786.2
resnet18d,224,512,512,73318.81,3947.05
resnet200d,256,512,96,2139.94,253.87
resnet26,224,512,448,46747.43,2259.25
resnet26d,224,512,384,53747.56,1896.2
resnet26t,256,512,384,56544.47,1902.52
resnet34,224,512,512,49657.78,1444.56
resnet34d,224,512,512,50303.35,1245.12
resnet50,224,512,288,32968.05,869.97
resnet50_gn,224,512,144,11344.96,367.05
resnet50d,224,512,272,36105.31,876.21
resnetblur50,224,512,272,35037.31,845.35
resnetrs101,192,1024,144,3619.85,407.95
resnetrs152,256,512,104,2172.62,279.56
resnetrs200,256,512,72,1417.8,185.98
resnetrs270,256,512,56,1051.29,130.97
resnetrs350,288,256,44,816.08,103.46
resnetrs420,320,256,36,686.6,82.96
resnetrs50,160,1024,224,21592.3,677.5
resnetv2_101x1_bitm,448,128,120,2310.84,235.98
resnetv2_101x1_bitm_in21k,224,512,120,2373.91,223.34
resnetv2_101x3_bitm,448,128,28,420.43,50.96
resnetv2_101x3_bitm_in21k,224,512,28,416.92,48.79
resnetv2_152x2_bit_teacher,224,512,34,590.6,61.53
resnetv2_152x2_bit_teacher_384,384,256,34,581.83,60.08
resnetv2_152x2_bitm,448,128,34,556.85,60.15
resnetv2_152x2_bitm_in21k,224,512,34,593.17,60.11
resnetv2_152x4_bitm,480,128,6,181.25,11.66
resnetv2_152x4_bitm_in21k,224,448,6,175.93,11.48
resnetv2_50x1_bit_distilled,224,512,176,5860.48,405.86
resnetv2_50x1_bitm,448,128,128,5457.1,359.56
resnetv2_50x1_bitm_in21k,224,512,176,5881.49,364.77
resnetv2_50x3_bitm,448,128,52,1078.56,103.58
resnetv2_50x3_bitm_in21k,224,512,52,965.13,94.56
resnext101_32x8d,224,512,96,6683.87,263.28
resnext50_32x4d,224,512,224,27697.08,818.51
resnext50d_32x4d,224,512,208,26204.8,746.56
seresnet152d,256,512,104,2232.43,273.74
seresnet50,224,512,224,15065.3,705.65
seresnext26d_32x4d,224,512,272,39104.64,972.74
seresnext26t_32x4d,224,512,272,38825.38,1095.8
seresnext50_32x4d,224,512,176,25496.28,613.24
ssl_resnet18,224,512,512,90783.5,3025.99
ssl_resnet50,224,512,288,38585.64,746.4
ssl_resnext101_32x16d,224,512,52,19548.17,140.84
ssl_resnext101_32x4d,224,512,144,11464.17,453.7
ssl_resnext101_32x8d,224,512,96,6437.97,263.3
ssl_resnext50_32x4d,224,512,224,35977.08,611.64
swin_base_patch4_window12_384,384,0,0,0.0,0.0
swin_base_patch4_window12_384_in22k,384,0,0,0.0,0.0
swin_base_patch4_window7_224,224,512,64,1146.36,141.91
swin_base_patch4_window7_224_in22k,224,512,64,1146.95,129.73
swin_large_patch4_window12_384,384,0,0,0.0,0.0
swin_large_patch4_window12_384_in22k,384,0,0,0.0,0.0
swin_large_patch4_window7_224,224,512,40,666.79,90.29
swin_large_patch4_window7_224_in22k,224,512,40,665.87,82.39
swin_small_patch4_window7_224,224,512,88,1586.65,202.64
swin_tiny_patch4_window7_224,224,512,144,7679.3,359.6
swsl_resnet18,224,512,512,57685.67,4780.65
swsl_resnet50,224,512,288,30419.91,975.8
swsl_resnext101_32x16d,224,512,52,17448.1,179.11
swsl_resnext101_32x4d,224,512,144,11622.07,475.37
swsl_resnext101_32x8d,224,512,96,6442.52,309.07
swsl_resnext50_32x4d,224,512,224,26153.95,817.74
tv_resnet101,224,512,192,15326.51,541.72
tv_resnet152,224,512,144,4135.81,367.47
tv_resnet34,224,512,512,50995.38,1445.15
tv_resnet50,224,512,288,30891.49,746.34
tv_resnext50_32x4d,224,512,224,35704.91,611.68
vit_base_patch16_224,224,512,112,15613.26,234.41
vit_base_patch16_224_in21k,224,512,112,15633.94,199.04
vit_base_patch16_224_miil,224,512,112,15596.51,202.33
vit_base_patch16_224_miil_in21k,224,512,112,15658.72,202.23
vit_base_patch16_384,384,256,112,13972.95,199.09
vit_base_patch16_sam_224,224,512,112,15686.9,199.25
vit_base_patch32_224,224,512,480,39740.74,1167.35
vit_base_patch32_224_in21k,224,512,480,40524.93,993.72
vit_base_patch32_384,384,256,256,39590.3,968.44
vit_base_patch32_sam_224,224,512,480,39863.69,993.97
vit_base_patch8_224,224,448,22,2506.36,32.99
vit_base_patch8_224_in21k,224,448,22,2507.29,28.0
vit_base_r50_s16_224_in21k,224,512,68,1293.62,122.33
vit_base_r50_s16_384,384,256,68,1325.44,117.95
vit_huge_patch14_224_in21k,224,512,16,209.73,29.39
vit_large_patch16_224,224,512,40,645.0,73.83
