model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
deit_base_distilled_patch16_224,224.0,1152.0,48.0,276.83,83.31
deit_base_distilled_patch16_384,384.0,224.0,11.0,82.05,23.66
deit_base_patch16_224,224.0,1152.0,48.0,278.02,83.95
deit_base_patch16_384,384.0,224.0,11.0,81.38,23.61
deit_small_distilled_patch16_224,224.0,2560.0,96.0,788.8,235.47
deit_small_patch16_224,224.0,2560.0,96.0,793.41,236.68
deit_tiny_distilled_patch16_224,224.0,5120.0,192.0,1959.51,585.24
deit_tiny_patch16_224,224.0,5120.0,192.0,1996.08,587.46
vit_base_patch8_224,224.0,136.0,7.0,51.78,15.91
vit_base_patch8_224_in21k,224.0,136.0,7.0,51.35,15.9
vit_base_patch16_224,224.0,1152.0,48.0,247.88,83.93
vit_base_patch16_224_in21k,224.0,1152.0,48.0,275.12,83.9
vit_base_patch16_224_miil,224.0,1024.0,48.0,415.63,102.61
vit_base_patch16_224_miil_in21k,224.0,1024.0,48.0,418.63,84.75
vit_base_patch16_384,384.0,224.0,11.0,117.76,28.35
vit_base_patch16_sam_224,224.0,1024.0,48.0,400.14,84.09
vit_base_patch32_224,224.0,1024.0,224.0,1654.22,426.25
vit_base_patch32_224_in21k,224.0,1024.0,208.0,1649.95,419.97
vit_base_patch32_384,384.0,1024.0,68.0,541.52,139.51
vit_base_patch32_sam_224,224.0,1024.0,224.0,1652.4,354.55
vit_huge_patch14_224_in21k,224.0,480.0,7.0,32.72,10.38
vit_large_patch16_224,224.0,896.0,17.0,87.33,28.36
vit_large_patch16_224_in21k,224.0,896.0,17.0,86.8,25.97
vit_large_patch16_384,384.0,160.0,4.0,26.08,8.16
vit_large_patch32_224,224.0,1024.0,80.0,360.98,117.99
vit_large_patch32_224_in21k,224.0,1024.0,80.0,360.64,108.02
vit_large_patch32_384,384.0,1024.0,24.0,119.52,39.14
vit_small_patch16_224,224.0,1024.0,96.0,1147.25,281.96
vit_small_patch16_224_in21k,224.0,1024.0,96.0,1146.27,237.59
vit_small_patch16_384,384.0,448.0,22.0,314.88,74.09
