model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
deit_base_distilled_patch16_224,224,2176,80,807.98,247.24
deit_base_distilled_patch16_384,384,320,20,236.68,67.34
deit_base_patch16_224,224,2304,80,798.34,209.97
deit_base_patch16_384,384,352,20,228.66,56.8
deit_small_distilled_patch16_224,224,4352,176,1762.98,559.97
deit_small_patch16_224,224,4352,176,1754.05,480.41
deit_tiny_distilled_patch16_224,224,8192,352,3590.36,1164.34
deit_tiny_patch16_224,224,8192,352,3562.51,999.18
vit_base_patch8_224,224,208,13,158.87,43.97
vit_base_patch8_224_in21k,224,208,13,158.93,38.07
vit_base_patch16_224,224,2304,88,792.28,244.02
vit_base_patch16_224_in21k,224,2176,80,793.62,209.43
vit_base_patch16_224_miil,224,2304,80,850.05,213.71
vit_base_patch16_224_miil_in21k,224,2304,80,850.37,213.78
vit_base_patch16_384,384,352,20,227.49,65.57
vit_base_patch16_sam_224,224,2304,80,792.36,209.48
vit_base_patch32_224,224,10240,384,1002.72,1042.3
vit_base_patch32_224_in21k,224,10240,384,1002.19,895.12
vit_base_patch32_384,384,3328,120,312.6,336.11
vit_base_patch32_sam_224,224,10240,384,1002.9,895.87
vit_huge_patch14_224_in21k,224,704,11,98.89,29.6
vit_large_patch16_224,224,1536,30,230.71,77.59
vit_large_patch16_224_in21k,224,1536,30,230.68,72.05
vit_large_patch16_384,384,224,7,67.13,20.57
vit_large_patch32_224,224,8704,136,507.01,337.2
vit_large_patch32_224_in21k,224,8704,136,508.91,314.11
vit_large_patch32_384,384,2304,40,162.76,106.34
vit_small_patch16_224,224,4352,176,1748.04,552.66
vit_small_patch16_224_in21k,224,4352,176,1743.24,480.27
vit_small_patch16_384,384,704,44,505.11,145.7
vit_small_patch32_224,224,10240,768,2109.79,2376.83
vit_small_patch32_224_in21k,224,10240,768,2106.65,2057.64
vit_small_patch32_384,384,1024,240,2254.81,739.45
vit_tiny_patch16_224,224,1024,352,4036.05,1149.01
vit_tiny_patch16_224_in21k,224,1024,352,4030.42,1001.3
vit_tiny_patch16_384,384,1024,88,1069.25,298.14
