model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
deit_base_distilled_patch16_224,224,768,48,45.76,15.47
deit_base_distilled_patch16_384,384,128,14,13.67,4.63
deit_base_patch16_224,224,768,48,45.93,15.6
deit_base_patch16_384,384,128,14,13.67,4.64
deit_small_distilled_patch16_224,224,1536,96,127.84,43.71
deit_small_patch16_224,224,1536,96,128.74,43.85
deit_tiny_distilled_patch16_224,224,2816,192,321.24,105.28
deit_tiny_patch16_224,224,3072,192,321.11,105.78
vit_base_patch8_224,224,96,8,9.23,3.16
vit_base_patch8_224_in21k,224,96,8,9.23,3.16
vit_base_patch16_224,224,896,48,45.9,15.6
vit_base_patch16_224_in21k,224,832,48,45.54,15.56
vit_base_patch16_224_miil,224,896,48,46.44,15.7
vit_base_patch16_224_miil_in21k,224,896,48,46.43,15.71
vit_base_patch16_384,384,160,14,13.66,4.63
vit_base_patch16_sam_224,224,896,48,45.89,15.61
vit_base_patch32_224,224,4608,208,190.16,64.97
vit_base_patch32_224_in21k,224,4096,192,190.26,65.02
vit_base_patch32_384,384,1280,64,62.63,21.36
vit_base_patch32_sam_224,224,4608,208,190.07,64.9
vit_huge_patch14_224_in21k,224,320,6,5.5,1.73
vit_large_patch16_224,224,576,16,14.54,4.76
vit_large_patch16_224_in21k,224,640,16,14.51,4.75
vit_large_patch16_384,384,104,4,4.41,1.43
vit_large_patch32_224,224,3328,72,60.32,19.72
vit_large_patch32_224_in21k,224,3072,72,60.34,19.7
vit_large_patch32_384,384,1024,22,19.91,6.57
vit_small_patch16_224,224,1536,96,116.24,38.6
vit_small_patch16_224_in21k,224,1536,96,116.05,38.43
vit_small_patch16_384,384,256,28,32.76,10.96
vit_small_patch32_224,224,7680,416,497.72,165.78
vit_small_patch32_224_in21k,224,7680,384,496.69,164.67
vit_small_patch32_384,384,2304,128,159.32,53.16
vit_tiny_patch16_224,224,3840,192,292.51,93.84
vit_tiny_patch16_224_in21k,224,3840,192,292.51,94.27
vit_tiny_patch16_384,384,576,56,79.17,25.9
