model,image_size,inference_batch_size,backprop_batch_size,inference_img_per_sec,backprop_img_per_sec
deit_base_distilled_patch16_224,224,1152,48,276.83,83.31
deit_base_distilled_patch16_384,384,224,11,82.05,23.66
deit_base_patch16_224,224,1152,48,278.02,83.95
deit_base_patch16_384,384,224,11,81.38,23.61
deit_small_distilled_patch16_224,224,2560,96,788.8,235.47
deit_small_patch16_224,224,2560,96,793.41,236.68
deit_tiny_distilled_patch16_224,224,5120,192,1959.51,585.24
deit_tiny_patch16_224,224,5120,192,1996.08,587.46
vit_base_patch8_224,224,136,7,51.78,15.91
vit_base_patch8_224_in21k,224,136,7,51.35,15.9
vit_base_patch16_224,224,1152,48,247.88,83.93
vit_base_patch16_224_in21k,224,1152,48,275.12,83.9
vit_base_patch16_224_miil,224,1024,48,415.63,102.61
vit_base_patch16_224_miil_in21k,224,1024,48,418.63,84.75
vit_base_patch16_384,384,224,11,117.76,28.35
vit_base_patch16_sam_224,224,1024,48,400.14,84.09
vit_base_patch32_224,224,1024,224,1654.22,426.25
vit_base_patch32_224_in21k,224,1024,208,1649.95,419.97
vit_base_patch32_384,384,1024,68,541.52,139.51
vit_base_patch32_sam_224,224,1024,224,1652.4,354.55
vit_huge_patch14_224_in21k,224,480,7,32.72,10.38
vit_large_patch16_224,224,896,17,87.33,28.36
vit_large_patch16_224_in21k,224,896,17,86.8,25.97
vit_large_patch16_384,384,160,4,26.08,8.16
vit_large_patch32_224,224,1024,80,360.98,117.99
vit_large_patch32_224_in21k,224,1024,80,360.64,108.02
vit_large_patch32_384,384,1024,24,119.52,39.14
vit_small_patch16_224,224,1024,96,1147.25,281.96
vit_small_patch16_224_in21k,224,1024,96,1146.27,237.59
vit_small_patch16_384,384,448,22,314.88,74.09
vit_small_patch32_224,224,1024,448,4767.33,1225.1
vit_small_patch32_224_in21k,224,1024,448,4735.52,1029.54
vit_small_patch32_384,384,1024,136,1535.63,390.09
vit_tiny_patch16_224,224,1024,192,2914.52,698.07
vit_tiny_patch16_224_in21k,224,1024,192,2900.98,590.76
vit_tiny_patch16_384,384,832,44,750.05,174.97
